QID,Domain,Bloom_Level,Difficulty,Question,OptionA,OptionB,OptionC,OptionD,Answer
1,Cybersecurity,Knowledge,Easy,"What is the primary purpose of Multi-Factor Authentication (MFA)?","To add an extra layer of security by requiring two or more verification methods","To make passwords longer and more complex","To encrypt the user's internet traffic","To automatically log users out after a period of inactivity","A"
2,Machine Learning,Analysis,Medium,"What is the main advantage of using the Adam optimizer over standard Stochastic Gradient Descent (SGD)?","It adapts the learning rate for each parameter, often leading to faster convergence","It guarantees finding the global minimum of the loss function","It requires significantly less memory to run","It only works for linear regression models","A"
3,Cloud Computing,Application,Hard,"An application experiences predictable traffic spikes every weekday at 9 AM. What is the most cost-effective auto-scaling strategy?","Scheduled scaling to increase capacity just before 9 AM and decrease it afterwards","Dynamic scaling based on CPU utilization","Maintaining a high capacity at all times (over-provisioning)","Manually adding new servers every morning","A"
4,Artificial Intelligence,Comprehension,Medium,"What does the 'Turing Test' evaluate?","A machine's ability to exhibit intelligent behavior indistinguishable from that of a human","The speed and efficiency of an algorithm","The accuracy of a predictive model","A machine's ability to perform physical tasks","A"
5,Data Science,Knowledge,Easy,"What is 'Data Cleaning'?","The process of detecting and correcting corrupt or inaccurate records from a dataset","The process of building a predictive model","The process of visualizing data","The process of deploying a model to production","A"
6,Big Data,Comprehension,Medium,"What is the main benefit of using a distributed file system like HDFS?","It allows for storing massive files across multiple machines, providing fault tolerance and high throughput","It enforces a strict relational schema on all stored data","It provides a graphical user interface for file management","It automatically encrypts all data at rest by default","A"
7,DevOps,Knowledge,Medium,"In a CI/CD pipeline, what is the 'deployment' stage?","The process of releasing the built software to a production or staging environment","The process of compiling the source code","The process of running automated tests","The process of writing the application code","A"
8,IoT,Analysis,Hard,"What is a key security difference between using a symmetric key and an asymmetric key for IoT device authentication?","Asymmetric keys allow for a public key to be shared without compromising the private key, which is better for large-scale public networks","Symmetric keys provide faster encryption and decryption","Asymmetric keys are less computationally intensive","Symmetric keys are a newer and more secure technology","A"
9,Cybersecurity,Comprehension,Medium,"Which of the following best describes a 'Denial-of-Service' (DoS) attack?","An attempt to make a machine or network resource unavailable to its intended users","An attempt to steal sensitive data like passwords or credit card numbers","An attempt to install malicious software on a system","An attempt to gain unauthorized administrative access","A"
10,Machine Learning,Knowledge,Easy,"In machine learning, what is a 'hyperparameter'?","A configuration variable that is set before the learning process begins (e.g., learning rate)","A parameter that the model learns from the data (e.g., weights in a neural network)","The input data used to train the model","The final output of the model","A"
11,Cloud Computing,Knowledge,Easy,"Which of the following is an example of a Software as a Service (SaaS) offering?","A web-based email client like Gmail or a CRM like Salesforce","A virtual machine (e.g., an AWS EC2 instance)","A managed Kubernetes service","A database engine like MySQL","A"
12,Artificial Intelligence,Application,Medium,"A programmer wants to create a program that can play chess by evaluating future moves and their outcomes. Which algorithm is most suitable for this?","Minimax algorithm with Alpha-Beta Pruning","K-Means Clustering","Linear Regression","A Convolutional Neural Network","A"
13,Data Science,Analysis,Medium,"Why is it important to split a dataset into training and testing sets?","To get an unbiased evaluation of the model's performance on unseen data","To make the training process faster","To increase the size of the dataset","To ensure the data has a normal distribution","A"
14,Big Data,Knowledge,Medium,"What is the purpose of Apache Kafka?","A distributed event streaming platform for high-performance data pipelines and streaming analytics","A distributed NoSQL database for storing key-value pairs","A tool for transferring data between relational databases and Hadoop","A framework for running in-memory data processing jobs","A"
15,DevOps,Comprehension,Medium,"What is the primary goal of 'observability'?","To understand the internal state of a complex system by examining its outputs (logs, metrics, traces)","To observe developers to ensure they are writing code correctly","To set up physical cameras in the data center","To ensure all code is reviewed before deployment","A"
16,IoT,Knowledge,Easy,"What is a 'sensor' in an IoT context?","A device that detects and responds to some type of input from the physical environment","A device that performs a physical action","The central processing unit of an IoT device","The cloud-based platform that stores IoT data","A"
17,Cybersecurity,Analysis,Hard,"What is the fundamental difference between an Intrusion Detection System (IDS) and an Intrusion Prevention System (IPS)?","An IDS only detects and alerts on potential threats, while an IPS can also take action to block them","An IDS is for networks, while an IPS is for individual computers","An IDS uses signatures, while an IPS uses machine learning","An IPS is a type of firewall, while an IDS is not","A"
18,Machine Learning,Comprehension,Medium,"What is the main idea behind the K-Nearest Neighbors (KNN) algorithm?","To classify a new data point based on the majority class of its 'k' closest neighbors in the feature space","To find 'k' distinct clusters in the data","To predict a continuous value by fitting a line to 'k' data points","To create a decision tree with a maximum depth of 'k'","A"
19,Cloud Computing,Analysis,Medium,"What is a primary advantage of using a managed database service (like AWS RDS) over installing a database on a virtual machine yourself?","The cloud provider handles administrative tasks like patching, backups, and scaling, reducing operational overhead","It provides a higher level of performance for all workloads","It is always cheaper than self-hosting on a VM","It gives you complete control over the underlying operating system","A"
20,Artificial Intelligence,Knowledge,Medium,"What is an 'expert system'?","An AI program that emulates the decision-making ability of a human expert in a narrow domain","A system that is an expert in all possible fields","A robot that can perform complex physical tasks","A search engine optimized for expert users","A"
21,Data Science,Knowledge,Medium,"What is a 'Jupyter Notebook'?","An open-source web application that allows you to create and share documents that contain live code, equations, visualizations, and narrative text","A physical notebook for data scientists to write down ideas","A type of machine learning model","A library for cleaning data in Python","A"
22,Big Data,Comprehension,Hard,"What is the primary benefit of using a stream-processing framework like Apache Flink or Spark Streaming?","It allows for the analysis of data in real-time as it is generated","It is more cost-effective for storing large volumes of data","It provides stronger transactional guarantees than traditional databases","It simplifies the process of writing complex SQL queries","A"
23,DevOps,Application,Medium,"A team wants to ensure that all code committed to their repository meets a certain quality standard before it can be merged. What should they implement?","Automated tests and linting in a CI (Continuous Integration) pipeline","A manual code review process by a single senior developer","A policy that only allows commits on Fridays","A peer-programming-only workflow","A"
24,IoT,Comprehension,Medium,"What is the purpose of an IoT gateway?","To act as a bridge between IoT devices and the cloud, often aggregating data and translating protocols","To provide power to all IoT devices in a network","To store all data generated by IoT devices locally","To display a dashboard of IoT device statuses","A"
