QID,Domain,Bloom_Level,Difficulty,Question
101,Data Science,Knowledge,Easy,"What is data wrangling?"
102,Big Data,Knowledge,Easy,"Define Hadoop."
103,DevOps,Comprehension,Medium,"Explain the concept of Continuous Integration (CI)."
104,IoT,Knowledge,Easy,"What is MQTT in the context of IoT?"
105,Artificial Intelligence,Analysis,Hard,"Compare and contrast supervised and unsupervised learning."
106,Machine Learning,Application,Medium,"Apply K-Nearest Neighbors (KNN) to a sample classification problem."
107,Cloud Computing,Evaluation,Hard,"Evaluate the performance trade-offs of serverless computing."
108,Cybersecurity,Comprehension,Medium,"Describe how a DDoS attack works."
109,Data Science,Analysis,Medium,"Analyze the importance of feature engineering in predictive modeling."
110,Big Data,Comprehension,Medium,"Explain the role of HDFS in the Hadoop ecosystem."
111,DevOps,Application,Hard,"Demonstrate how to set up a CI/CD pipeline using Jenkins."
112,IoT,Evaluation,Hard,"Assess the security vulnerabilities of common IoT devices."
113,Artificial Intelligence,Knowledge,Medium,"Define reinforcement learning."
114,Machine Learning,Comprehension,Easy,"Explain the working of a Naive Bayes classifier."
115,Cloud Computing,Knowledge,Easy,"What is a hybrid cloud?"
116,Cybersecurity,Application,Hard,"Apply penetration testing techniques to identify network vulnerabilities."
117,Data Science,Synthesis,Hard,"Propose a data model for analyzing customer churn."
118,Big Data,Analysis,Hard,"Differentiate between Hadoop and Spark."
119,DevOps,Knowledge,Medium,"What is Infrastructure as Code (IaC)?"
120,IoT,Comprehension,Medium,"Explain the concept of edge computing."
121,Artificial Intelligence,Application,Hard,"Use a genetic algorithm to solve an optimization problem."
122,Machine Learning,Evaluation,Medium,"Critique the limitations of linear regression for non-linear data."
123,Cloud Computing,Analysis,Medium,"Compare the benefits of multi-cloud vs. hybrid cloud strategies."
124,Cybersecurity,Knowledge,Hard,"What is a zero-day exploit?"
125,Data Science,Comprehension,Medium,"Describe the steps in the data science lifecycle."
126,Big Data,Knowledge,Easy,"What is a NoSQL database?"
127,DevOps,Comprehension,Medium,"Explain the role of Docker in DevOps."
128,IoT,Application,Medium,"Design a simple IoT system for home automation."
129,Artificial Intelligence,Knowledge,Medium,"What is computer vision?"
130,Machine Learning,Analysis,Medium,"Analyze the impact of outliers on clustering algorithms."
131,Cloud Computing,Application,Hard,"Apply auto-scaling policies to a web application on a cloud platform."
132,Cybersecurity,Evaluation,Hard,"Evaluate the effectiveness of SIEM systems in threat detection."
133,Data Science,Knowledge,Easy,"Define A/B testing."
134,Big Data,Comprehension,Hard,"Explain the MapReduce paradigm."
135,DevOps,Analysis,Hard,"Analyze the trade-offs between monolithic and microservices architecture."
136,IoT,Synthesis,Hard,"Propose a new protocol for secure communication between IoT devices."
137,Artificial Intelligence,Comprehension,Medium,"Explain how fuzzy logic systems work."
138,Machine Learning,Application,Hard,"Apply Principal Component Analysis (PCA) for dimensionality reduction."
139,Cloud Computing,Knowledge,Medium,"What is load balancing?"
140,Cybersecurity,Comprehension,Easy,"Describe the principle of least privilege."
141,Data Science,Application,Medium,"Use time series analysis to forecast sales data."
142,Big Data,Evaluation,Medium,"Assess the challenges of managing a data lake."
143,DevOps,Evaluation,Hard,"Critique the limitations of using Git for large binary files."
144,IoT,Analysis,Medium,"Compare MQTT and CoAP protocols for IoT applications."
145,Artificial Intelligence,Synthesis,Hard,"Design a chatbot using NLP and knowledge representation."
146,Machine Learning,Knowledge,Medium,"What is gradient boosting?"
147,Cloud Computing,Synthesis,Easy,"Propose a basic architecture for a disaster recovery plan in the cloud."
148,Cybersecurity,Knowledge,Easy,"Define SQL Injection."
149,Data Science,Comprehension,Medium,"Explain the difference between correlation and causation."
150,Big Data,Application,Hard,"Demonstrate the use of Apache Spark for real-time data processing."
151,Artificial Intelligence,Knowledge,Easy,"What is an intelligent agent?"
152,Cloud Computing,Comprehension,Medium,"Explain the concept of container orchestration."
153,Cybersecurity,Analysis,Hard,"Analyze the attack vector of a cross-site scripting (XSS) vulnerability."
154,Machine Learning,Knowledge,Medium,"Define overfitting in machine learning."
155,Data Science,Evaluation,Hard,"Evaluate the ethical implications of using predictive models in criminal justice."
156,Big Data,Analysis,Medium,"Compare NoSQL and SQL databases for big data applications."
157,DevOps,Knowledge,Easy,"What is a version control system?"
158,IoT,Comprehension,Medium,"Describe the architecture of a typical IoT solution."
159,Artificial Intelligence,Application,Medium,"Apply a minimax algorithm to a game of Tic-Tac-Toe."
160,Cloud Computing,Evaluation,Medium,"Critique the vendor lock-in problem in cloud computing."
161,Cybersecurity,Application,Easy,"Demonstrate how to create a strong password."
162,Machine Learning,Comprehension,Hard,"Explain the bias-variance trade-off."
163,Data Science,Analysis,Medium,"Analyze the strengths and weaknesses of different data visualization techniques."
164,Big Data,Knowledge,Medium,"What is a data warehouse?"
165,DevOps,Comprehension,Easy,"Explain the purpose of a build server."
166,IoT,Evaluation,Medium,"Assess the scalability challenges of large-scale IoT deployments."
167,Artificial Intelligence,Knowledge,Hard,"What is the Turing Test?"
168,Cloud Computing,Analysis,Easy,"Compare Infrastructure as a Service (IaaS) and Platform as a Service (PaaS)."
169,Cybersecurity,Knowledge,Medium,"Define multi-factor authentication (MFA)."
170,Machine Learning,Application,Hard,"Use logistic regression to predict customer subscription."
171,Data Science,Synthesis,Hard,"Design an experiment to test the effectiveness of a new website feature."
172,Big Data,Application,Medium,"Apply data partitioning techniques in a distributed database."
173,DevOps,Analysis,Hard,"Differentiate between blue-green deployment and canary releases."
174,IoT,Knowledge,Easy,"What is a sensor network?"
175,Artificial Intelligence,Comprehension,Medium,"Describe the difference between strong AI and weak AI."
176,Cloud Computing,Application,Medium,"Apply a content delivery network (CDN) to improve website performance."
177,Cybersecurity,Comprehension,Hard,"Explain the mechanics of a man-in-the-middle (MITM) attack."
178,Machine Learning,Evaluation,Hard,"Evaluate the performance of a deep learning model for image recognition."
179,Data Science,Knowledge,Easy,"What is structured vs. unstructured data?"
180,Big Data,Synthesis,Hard,"Propose a new architecture for a streaming data analytics platform."
181,DevOps,Knowledge,Medium,"Define 'configuration drift'."
